               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.027051,            0.015442,           0.0067508,             0.94781,             0.96559,             0.97627,             0.73153,            0.022593,           0.0054174,           0.0016263,            0.004654,            0.004654,            0.004654
                  83,            0.027021,            0.015309,           0.0066945,             0.94785,             0.96393,             0.97585,             0.73086,            0.022615,           0.0054168,           0.0015819,            0.004588,            0.004588,            0.004588
                  84,            0.026867,            0.015336,           0.0067592,             0.94477,             0.96483,              0.9756,             0.73177,            0.022469,           0.0054293,           0.0016262,            0.004522,            0.004522,            0.004522
                  85,            0.026731,            0.015183,           0.0063681,             0.94434,             0.96345,               0.975,             0.73185,            0.022478,           0.0054005,           0.0015933,            0.004456,            0.004456,            0.004456
                  86,            0.026607,            0.015224,           0.0063368,             0.94447,             0.96519,             0.97651,             0.73239,            0.022451,           0.0053991,           0.0015697,             0.00439,             0.00439,             0.00439
                  87,            0.026599,            0.015201,           0.0063892,             0.94196,             0.96875,             0.97605,             0.73372,            0.022389,           0.0053688,           0.0015256,            0.004324,            0.004324,            0.004324
                  88,            0.026581,            0.015184,           0.0064061,             0.94465,               0.967,             0.97673,             0.73605,            0.022424,           0.0053545,           0.0014981,            0.004258,            0.004258,            0.004258
                  89,            0.026395,            0.015104,           0.0062273,             0.94399,             0.97087,             0.97658,             0.73554,            0.022546,           0.0053605,           0.0015078,            0.004192,            0.004192,            0.004192
                  90,            0.026246,               0.015,           0.0060829,              0.9447,              0.9699,             0.97661,             0.73655,            0.022523,           0.0053531,           0.0015181,            0.004126,            0.004126,            0.004126
                  91,            0.026188,            0.015043,            0.006049,             0.94483,             0.97337,              0.9771,             0.73813,            0.022402,           0.0053207,           0.0015137,             0.00406,             0.00406,             0.00406
                  92,            0.026032,            0.015024,           0.0059425,             0.94581,             0.97094,             0.97588,             0.73901,            0.022312,           0.0052995,           0.0015116,            0.003994,            0.003994,            0.003994
                  93,            0.026126,             0.01502,           0.0060924,             0.94554,             0.96973,             0.97601,              0.7391,            0.022274,            0.005294,           0.0014777,            0.003928,            0.003928,            0.003928
                  94,            0.025957,            0.014952,           0.0060664,             0.94765,             0.96827,             0.97639,             0.73949,            0.022286,           0.0052866,           0.0014694,            0.003862,            0.003862,            0.003862
                  95,            0.026012,            0.014997,           0.0060404,             0.94583,             0.96863,             0.97569,              0.7396,            0.022183,           0.0052705,           0.0014489,            0.003796,            0.003796,            0.003796
                  96,            0.025931,            0.014845,           0.0058227,             0.94781,             0.96748,             0.97548,             0.74002,            0.022124,           0.0052698,           0.0014262,             0.00373,             0.00373,             0.00373
